,楼盘名,价格,项目地址,开发商,物业公司,最新开盘,交房时间,容积率,产权年限,绿化率,规划户数,物业费用,车位情况
0,雄飞新园名都, 30000,新园大道8号,四川科成实业有限公司,成都蜀信物业服务有限公司,2018.07,2018年11月30日,5.60,40年,15%,1788,3.5~0元/m²/月,地下车位数1157
1,雄飞新园紫郡, 30000,新园大道8号,四川科成实业有限公司,成都蜀信物业服务有限公司,2014.01.01,2015年12月31日,3.00,40年,30%,1788,4.5~0元/m²/月,地下车位数705
2,长冶南阳御龙府, 10699,成都市高新区梓州大道4333号,成都长冶房地产开发有限公司,成都长冶物业管理有限公司,2018.08.04,2021年03月31日,6.00,40年,32%,3725,3.88~4.28元/m²/月,地下车位数1500
3,长冶南阳御龙府, 10170,成都市高新区梓州大道4333号,成都长冶房地产开发有限公司,成都长冶物业管理有限公司,2018.10.08,2021年12月31日,6.00,70年,32%,1276,2.8元/m²/月,地下车位数1500
4,招商大魔方, 23000,锦城大道与天府大道交汇处科华南路1366号,成都招商龙城房地产开发有限公司,招商局物业管理有限公司成都分公司,2018.11.11,待定,6.00,70年,15%,900,3.88元/m²/月,地下车位数1519
5,一品CG, 30000,天府南华路与天府三街交汇处（高新青年公寓对面）,成都澜山置业有限公司,成都中能物业管理有限责任公司,2015.12.30,2018年05月01日,5.00,40年,15%,62,35元/m²/月,"地上车位数380
                                        ；                                            地下车位数700"
6,星宸国际, 14500,益州大道中段555号,成都星宸投资有限公司,成都智申物业管理有限公司,2013.02.05,2014年08月31日,6.36,40年,27%,1098,18元/m²/月,地下车位数1098
7,一品CG, 20000,天府南华路与天府三街交汇处（高新青年公寓对面）,成都澜山置业有限公司,成都中能物业管理有限责任公司,2018.03.01,2019年05月01日,5.00,40年,15%,372,5元/m²/月,"地上车位数380
                                        ；                                            地下车位数700"
8,银泰中心, 85000,天府大道北段1199号（高新国际广场旁）,成都银城置业有限公司,仲量联行测量师事务所（上海）有限公司成都分公司,2013.09.25,2016年12月31日,2.40,70年,15%,150,11.8元/m²/月,地下车位数3800
9,银泰中心, 47000,天府大道北段1199号（高新国际广场旁）,成都银城置业有限公司,仲量联行测量师事务所（上海）有限公司成都分公司,2013.09.25,2016年12月31日,2.40,70年、40年,15%,330,7元/m²/月,地下车位数3800
10,润富国际花园, 24500,交子大道998号,成都润富置业有限公司,成都绿城物业管理有限公司,2016.06.11,2018年12月31日,3.00,40年,45%,652,4.5元/m²/月,地下车位数1304
11,嘉祥瑞庭南城, 17500,益州大道中段1918号,成都竹岛置地发展有限公司,成都万丰创新物业管理有限公司,2016.10.31,2017年12月31日,3.69,40年,45%,483,3元/m²/月,地下车位数1889
12,航天城上城, 67,益州大道中段599号,深圳航天地产发展有限公司,深圳市航天物业管理有限公司,2015.07.20,2015年08月31日,5.07,40年,27%,960,2.3元/m²/月,地下车位数1359
13,人居盛和林语, 11000,盛和二路与城通路交汇处（南富森对面）,成都人居置业有限公司,成都人居置业物业管理有限公司,2017.06.08,2019年12月31日,3.52,70年,30%,2205,3.5元/m²/月,地下车位数2959
14,锦城南府猫先生, 21000,剑南大道中段锦城南府,合创锦城实业有限公司,成都明远物业发展有限公司,2017.09.01,2020年07月30日,2.94,40年,30%,668,3元/m²/月,地下车位数1701
15,大源欢乐颂, 19000,天府三街1599号（天府三街与南华路交汇处）,成都锐力投资管理有限公司,成都龙湖物业服务有限公司,2018.08.01,2019年05月,4.99,40年,15%,1577,2.5~3.5元/m²/月,地下车位数1205
16,香悦城, 28000,益州大道中段699号（天府一街与天府二街之间）,成都乐家置业有限公司,成都忠信物业管理有限公司,2017.12.26,2019年07月31日,5.30,40年,26%,276,2.6元/m²/月,地下车位数912
17,锦城南府猫先生, 40000,剑南大道中段锦城南府,合创锦城实业有限公司,成都明远物业发展有限公司,2017.01.18,2019年12月31日,2.94,40年,30%,42,4元/m²/月,地下车位数1701
18,华润时光里, 14500,高新区观东二街和应龙南二路交叉口,成都华润置地和兴房地产开发有限公司,华润置地（成都）物业服务有限公司,2017.12.24,2019年12月31日,4.00,40年,35%,3200,3.9元/m²/月,地下车位数1405
19,和雅嘉御, 25000,永丰路7号（衣冠庙地铁口B出口）,成都和意房地产开发有限公司,仲量联行物业管理有限公司,2017.11,2019年03月31日,7.99,40年,15%,540,5元/m²/月,地下车位数204
20,中国华商交子公馆, 23000,金融城交子大道（天府国际金融中心旁）,成都格兰西亚置业有限公司,高力国际物业顾问有限公司,2015.05.01,2017年06月30日,2.29,40年,15%,1054,23元/m²/月,地下车位数1788
21,雄飞新园名都, 14500,新园大道8号,四川科成实业有限公司,成都蜀信物业服务有限公司,2018.08.11,2020年09月30日,5.60,40年,15%,1788,2.18元/m²/月,地下车位数1157
22,檀香山公园里, 40000,二环路南四段19号,成都星瑞置地有限公司,成都金房物业有限公司,2015.05.02,2016年10月,4.20,40年,30%,27,5元/m²/月,地下车位数279
23,中铁城锦南汇, 36000,天府大道南段会龙大道内,成都华鼎房地产开发有限公司,成都中铁二局瑞城物业管理有限公司,2018.06.18,2018年12月31日,5.00,40年,30%,2567,6元/m²/月,地下车位数3800
24,星宸国际, 20000,益州大道中段555号,成都星宸投资有限公司,暂无,2013.02.10,2015年06月10日,6.36,40年,27%,521,暂无,地下车位数1098
25,大源欢乐颂, 50000,天府三街1599号（天府三街与南华路交汇处）,成都锐力投资管理有限公司,龙湖物业,2018.09.08,2019年05月01日,4.99,40年,15%,1577,7.5元/m²/月,地下车位数1205
26,凯德世纪名邸, 40000,天府一街1333号（高新七中旁）,凯德（中国）企业管理有限公司成都分公司,成都置信物业管理有限公司,2018.07.21,2016年12月31日,3.10,40年,68%,2003,5元/m²/月,地下车位数2403
27,时代晶座(高新), 50000,剑南大道中段利通时代晶座,四川佳兆港投资有限公司,四川通用物业管理有限公司,2018.06.06,2019年06月30日,5.00,40年,35%,14,5.8元/m²/月,地下车位数1998
28,融创香璟台二期, 15138,新成仁路与新川大道交汇处,成都融创仁源房地产开发有限公司,融创物业,2017.10.27,2019年12月31日,4.00,70年,30%,721,3.2~3.5元/m²/月,地下车位数1442
29,花样年美年广场, 30000,天府大道中段1388号,四川西美投资发展有限公司,深圳市花样年国际物业服务有限公司成都分公司,2017.06.25,2018年12月31日,3.90,40年,48%,1514,8元/m²/月,地下车位数2046
30,南城都汇汇彩园, 45000,荟锦路265号,和记黄埔地产（成都）有限公司,家利物业管理（重庆）有限公司成都分公司,2017.07,2018年04月30日,2.94,40年,30%,406,12元/m²/月,地下车位数1762
31,朗诗熙华府, 17000,天府二街与荣华北路交汇处,寰安置业（成都）有限公司,南京朗诗深绿物业管理有限公司成都分公司,2017.03.29,2019年12月31日,4.50,70年,30%,357,3.5元/m²/月,地下车位数2670
32,碧桂园沁云里, 15350,应龙北一路222号,成都沁园房地产开发有限公司,龙湖物业服务集团,2018.11.12,待定,3.00,70年,30%,150,2.9元/m²/月,地下车位数703
